,beans,book,creatine,deodorant,lighter_fluid,nutella,pasta,peanut_butter,reeses,tea,#TP,#FP,#TN,#FN
S1_front,1,0,0,0,0,0,0,0,0,0,1,0,9,0
S1_left,1,0,0,0,0,0,0,0,0,0,1,0,9,0
S1_right,1,0,0,0,0,0,0,0,0,0,1,0,9,0
S10_front,1,1,1,0,1,1,1,1,1,1,9,0,0,1
S10_left,1,1,1,0,0,0,1,1,1,1,7,0,0,3
S10_right,1,1,0,1,1,1,0,1,1,0,7,0,0,3
S2_front,1,0,1,0,0,0,0,0,0,0,2,0,8,0
S2_left,1,0,1,0,0,0,0,0,0,0,2,0,8,0
S2_right,1,0,1,0,0,0,0,1,0,0,2,1,7,0
S3_front,1,0,1,0,0,1,0,0,0,0,3,0,7,0
S3_left,1,0,1,0,0,1,0,0,0,0,3,0,7,0
S3_right,1,0,1,0,0,1,0,0,0,0,3,0,7,0
S4_front,1,0,1,0,0,1,1,0,0,0,4,0,6,0
S4_left,1,0,1,0,0,1,1,0,0,0,4,0,6,0
S4_right,1,0,1,0,0,1,1,1,0,0,4,1,5,0
S5_front,1,0,1,1,0,1,1,0,0,0,5,0,5,0
S5_left,1,0,1,0,0,0,1,0,0,0,3,0,5,2
S5_right,1,0,1,1,0,1,1,0,0,0,5,0,5,0
S6_front,1,0,1,1,0,1,1,1,0,1,6,1,3,0
S6_left,1,0,1,0,0,1,1,0,0,1,5,0,4,1
S6_right,1,0,1,1,1,1,1,0,0,1,6,1,3,0
S7_front,1,0,1,1,0,1,1,1,0,1,7,0,3,0
S7_left,1,0,1,0,0,0,1,1,0,1,5,0,3,2
S7_right,1,0,0,1,0,1,0,1,0,0,4,0,3,3
S8_front,1,0,1,1,0,1,1,1,1,1,8,0,2,0
S8_left,1,0,1,0,0,0,1,1,1,1,6,0,2,2
S8_right,1,0,0,1,0,1,0,1,0,0,4,0,2,4
S9_front,1,1,1,0,0,1,1,1,1,1,8,0,1,1
S9_left,0,1,1,0,0,0,1,1,1,1,6,0,1,3
S9_right,1,1,0,1,0,1,0,1,0,1,6,0,1,3
